TEA,SLN,econ_cpr,econ_fincap,econ_medinc,econ_paydaycap,econ_pctlwjobs,econ_pctmwjobs,econ_totjobs,econ_pr,econ_pyr,econ_ur,econ_cpr_sd,econ_fincap_sd,econ_medinc_sd,econ_paydaycap_sd,econ_pctlwjobs_sd,econ_pctmwjobs_sd,econ_totjobs_sd,econ_pr_sd,econ_pyr_sd,econ_ur_sd
283,283,0.257368014218523,6.97583522587511,38389.6546418,1.88928870700784,0.126835001196357,0.252227336063843,142098,0.127176947705635,0.0867205716443096,0.0274695004749587,3,4,3,1,4,0,4,4,4,4
188,188,0.353620105993933,2.6107973435502,34056.1019773,1.3053986717751,0.270750863964813,0.363933396167138,15915,0.229282410364575,0.338874579646348,0.0552474827936918,2,2,2,2,1,2,2,2,1,2
202,202,0.407799083972566,2.25194107121338,28274.6297405,1.76938227023908,0.146961539032024,0.279327785935715,67419,0.266962491251061,0.305580721167256,0.0617957026461959,1,2,2,2,4,0,4,1,2,2
131,131,0.378111927776116,6.83151463283789,37595.1450643,2.00234049583179,0.125106182703125,0.236368436761026,174228,0.20246580766182,0.187656731811165,0.04082394039542,1,4,3,1,4,0,4,2,3,3
122,122,0.415227841292259,3.44384599858683,20743.0975728,2.29589733239122,0.101404427517258,0.286148800550134,75618,0.302254066237203,0.304339180059693,0.0790086450775123,0,3,1,0,4,0,4,0,2,0
260,260,0.406263949271738,4.30609258097609,25778.9234822,2.15304629048804,0.162097196103107,0.289990526419977,70723,0.240605834883405,0.313057266654426,0.0613579991494368,1,4,1,1,4,0,4,2,2,2
105,105,0.407375869981355,1.62323105847133,22243.6068869,0,0.149747205960617,0.351583288983502,15032,0.267407272410368,0.172135206400431,0.063076300579507,1,2,1,4,4,2,2,1,4,2
103,103,0.328735904720791,1.91914415366978,21506.4297074,0,0.154731550957966,0.293654840824652,13727,0.225970116032696,0.180258119320888,0.0689506725207219,2,2,1,4,4,0,1,2,3,1
116,116,0.262178379704027,1.80861292574173,39268.100205,3.61722585148346,0.247262935961592,0.357863184901059,39367,0.166037473427728,0.31726746240683,0.0456965538877402,3,2,3,0,2,2,2,3,2,3
278,278,0.254645750947387,1.57233291442404,42399.2980635,3.45913241173288,0.261546513149287,0.3603297134633,38215,0.160223968265507,0.316697427137237,0.0450809167073045,3,2,3,0,2,2,2,3,2,3
