TEA,SLN,hel_bphigh,hel_castthma,hel_checkup,hel_fruitsveggies,hel_le,hel_mhlth,hel_obesity,hel_perpri,hel_perpub,hel_prtopu,hel_pharmacap,hel_phlth,hel_sleep,hel_stroke,hel_perins,hel_perunin,hel_clincap,hel_groccap,hel_bphigh_sd,hel_castthma_sd,hel_checkup_sd,hel_fruitsveggies_sd,hel_le_sd,hel_mhlth_sd,hel_obesity_sd,hel_perpri_sd,hel_perpub_sd,hel_prtopu_sd,hel_pharmacap_sd,hel_phlth_sd,hel_sleep_sd,hel_stroke_sd,hel_perins_sd,hel_perunin_sd,hel_clincap_sd,hel_groccap_sd
175,175,4449.08538679582,1166.6027119245,7357.60022230086,338.394654481,75.2240196085,1687.91498507407,4372.42022105882,0.412895955928384,0.435332415174659,0.948461317227495,1.25477390375043,1664.59832256795,4073.16640153393,511.476299256687,0.788932014523601,0.211168148240891,0,0.752864342250256,0,0,4,1,1,1,0,2,4,1,1,1,4,4,3,1,0,1
264,264,3733.420146576,1037.00413173614,6401.57324365203,319.057498278,75.7861253682,1514.86439872636,3824.90113469986,0.436362298218929,0.410210490162406,1.06375216793254,5.65575755111499,1404.71618340527,3619.42434504544,404.31122125966,0.801089249791473,0.199156076738138,0.245902502222391,0.737707506667173,1,1,2,1,2,2,2,2,4,1,4,2,2,2,3,1,1,1
226,226,4239.96793994418,1119.90968597133,7001.09825875983,329.6067933,75.5122175424,1655.76891999856,4200.51928525361,0.414442894777623,0.43161320316132,0.960218296711188,1.2429360886286,1634.71372912478,3907.43079109762,497.029404361283,0.787261738726174,0.21301720130172,0,0.932202066471452,0,0,4,1,2,2,0,2,4,1,1,1,3,4,3,1,0,2
109,109,3631.22141605384,1056.06963533729,6541.43890890063,298.229838069,75.2205654515,1888.86432399042,4163.93181712265,0.285786502653973,0.396466986828433,0.720833038180917,1.68918130429345,1796.21556733363,3889.89067384763,420.407301212449,0.665936473165389,0.333670345718538,0.281530217382241,0.563060434764483,2,1,2,0,1,0,1,0,3,0,1,0,3,3,0,4,1,0
117,117,3712.16534618958,1065.95010218685,6624.06613871762,283.011681782,74.8009860506,1867.34625283822,4164.71534772009,0.268208327682083,0.419537501695375,0.639295239634689,0.339800406435245,1788.11902092682,3909.71484581313,439.356771271899,0.665231249152313,0.334633120846331,0,0.67960081287049,1,1,2,0,1,0,1,0,4,0,0,0,3,3,0,4,0,1
266,266,3613.33338035824,1043.63037875042,6538.3232354392,296.447423419,75.4887245172,1861.17315488733,4120.90606792968,0.286121286121286,0.397435897435897,0.719918074756785,0.764490059145457,1780.31683243262,3862.39500052296,417.369025962518,0.664707977207977,0.334783272283272,0,1.27415009857576,2,1,2,0,2,0,1,0,3,0,0,0,3,2,0,4,0,3
108,108,3447.03715764406,985.697820058357,6729.38090901893,385.901919621,77.3430631343,1546.37284584411,3631.56658911198,0.509212673947063,0.305793467835569,1.66521763055082,1.99113362286693,1451.21959114516,3594.9639473014,352.211452703054,0.768715610223965,0.231486311396793,0.153164124835917,0.612656499343669,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
129,129,3492.6961933045,992.544927991687,6733.35112746899,390.534526008,77.4122893821,1574.29563823399,3657.21369108128,0.514091882512935,0.307817360448939,1.67011984562259,1.97678783560138,1485.52814769938,3602.03356787169,360.282760754136,0.771137823769403,0.229002860581808,0.263571711413517,0.527143422827035,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,1,0
218,218,3428.91303148962,975.295712366284,6627.16596588364,384.437120951,77.6808476696,1604.62166954974,3643.85753299738,0.486764487920557,0.312123906921595,1.55952324421862,1.91457746202379,1524.92491832772,3559.10364573225,356.8232551122,0.747932414406403,0.252052764191493,0.225244407296916,0.675733221890749,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
216,216,3548.79098879674,1025.7717252549,6553.79297683971,347.369917897,75.1119053133,1774.51651186849,4026.67156394667,0.369652848805728,0.369412189398953,1.00065146579805,1.51042752996772,1671.1777343163,3802.2555261953,380.578779562874,0.710847722760363,0.288971782684556,0.151042752996772,1.20834202397417,2,1,2,2,1,1,1,1,3,1,1,1,3,2,1,3,1,3
