TEA,SLN,dem_totp,dem_popwh,dem_popbl,dem_popas,dem_pophi,dem_popm,dem_popf,dem_thh,dem_popse,dem_popch,dem_totp_sd,dem_popwh_sd,dem_popbl_sd,dem_popas_sd,dem_pophi_sd,dem_popm_sd,dem_popf_sd,dem_thh_sd,dem_popse_sd,dem_popch_sd,dem_perwh_sd,dem_perbl_sd,dem_peras_sd,dem_perhi_sd,dem_perm_sd,dem_perf_sd,dem_perse_sd,dem_perch_sd
169,169,47216,33841,7177,2454,7899,22597,24635,21773,9058,8453,1,2,1,3,0,1,2,2,4,0,2,1,4,0,1,4,4,0
167,167,23032,17032,3883,72,13920,11572,11458,6244,1287,8271,0,0,0,1,1,0,0,0,0,0,3,2,1,3,2,2,0,4
187,187,21325,16000,3726,149,14952,10692,10638,5769,1406,7089,0,0,0,1,1,0,0,0,0,0,3,2,1,4,2,2,0,4
305,305,11596,8563,1967,68,8095,5903,5694,3142,814,3813,0,0,0,1,0,0,0,0,0,0,3,2,1,4,3,1,0,4
142,142,24481,3916,19337,1,4457,10878,13606,9047,3199,6804,0,0,4,1,0,0,0,0,0,0,0,4,1,0,0,4,4,2
301,301,8622,2727,5467,18,2198,4533,4089,2460,920,2330,0,0,1,1,0,0,0,0,0,0,0,4,1,0,4,0,2,2
235,235,41808,12170,27655,164,11434,18979,22819,15008,5932,12008,1,0,4,1,0,1,1,1,2,1,0,4,1,0,0,4,4,2
175,175,40056,11780,26380,152,11112,18348,21699,14037,5826,11517,1,0,4,1,0,0,1,1,2,1,0,4,1,0,0,4,4,2
264,264,40958,11429,27002,203,10775,18392,22562,15530,4831,12080,1,0,4,1,0,0,1,1,2,1,0,4,1,0,0,4,3,2
226,226,32426,10598,20190,141,9979,14815,17611,11301,4744,9431,0,0,4,1,0,0,0,0,2,0,0,4,1,0,0,4,4,2
109,109,35607,23213,10396,57,23097,16906,18709,9840,2752,12358,0,1,2,1,2,0,0,0,0,1,2,2,1,3,0,4,0,4
117,117,29492,18427,9567,45,18594,14092,15404,8275,2580,10078,0,0,2,1,1,0,0,0,0,1,2,3,1,3,0,4,1,4
266,266,39312,26571,10590,49,26566,18763,20559,10854,3177,13540,1,1,2,1,2,0,1,0,0,2,2,2,1,4,0,4,1,4
108,108,59667,38424,15209,518,27036,29243,30427,22691,5674,16231,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
129,129,64136,40874,15709,602,28937,31114,33032,24071,6214,17695,3,2,3,2,2,2,3,3,2,3,2,2,1,2,1,3,2,2
218,218,67564,45750,12647,631,34082,32678,34888,24191,6651,19164,3,3,2,2,2,3,3,3,3,3,2,2,1,2,1,3,2,2
